promedio,promedio_establecimiento,desviacion,nivel_superior,nivel_minimo,nivel_satisfactorio,nivel_avanzado
286.0,2.4,58.0,51.0,28.0,15.0,6.0
312.0,2.4,58.0,11.0,46.0,33.0,11.0
292.0,3.0,50.0,21.0,48.0,23.0,9.0
292.0,4.9,58.0,21.0,63.0,14.0,2.0
265.0,3.1,51.0,39.0,44.0,12.0,6.0
310.0,5.0,58.0,7.0,51.0,39.0,4.0
259.0,2.8,42.0,45.0,39.0,16.0,0.0
273.0,2.7,42.0,36.0,44.0,19.0,1.0
273.0,5.6,50.0,35.0,61.0,2.0,2.0
255.0,2.6,53.0,66.0,27.0,3.0,3.0
290.0,6.9,62.0,17.0,52.0,26.0,4.0
286.0,2.4,49.0,19.0,54.0,25.0,2.0
281.0,0.0,63.0,54.0,23.0,16.0,7.0
335.0,1.3000000000000003,62.0,9.0,30.0,32.0,29.0
351.0,3.5,55.0,0.0,26.0,61.0,13.0
334.0,3.9,60.0,6.0,54.0,33.0,7.0
315.0,0.0,76.0,15.0,41.0,27.0,18.0
317.0,1.3000000000000003,64.0,20.0,26.0,25.0,29.0
289.0,3.8,54.0,28.0,50.0,22.0,0.0
311.0,4.5,54.0,8.0,46.0,41.0,5.0
320.0,3.8,46.0,15.0,46.0,31.0,8.0
299.0,6.1,45.0,16.0,53.0,25.0,6.0
317.0,3.8,54.0,9.0,41.0,46.0,4.0
304.0,5.4,39.0,6.0,50.0,34.0,9.0
332.0,8.0,57.0,9.0,9.0,55.0,27.0
303.0,4.9,35.0,12.0,27.0,61.0,0.0
290.0,2.8,46.0,42.0,42.0,16.0,0.0
330.0,2.7,45.0,4.0,27.0,60.0,9.0
277.0,2.4,53.0,27.0,40.0,28.0,5.0
273.0,4.9,55.0,40.0,48.0,10.0,2.0
298.0,2.5,54.0,19.0,46.0,25.0,11.0
281.0,3.6,56.0,48.0,33.0,18.0,1.0
287.0,4.9,55.0,15.0,55.0,30.0,0.0
304.0,3.4,52.0,9.0,53.0,29.0,9.0
269.0,2.2,57.0,30.0,51.0,15.0,5.0
241.0,2.0,51.0,86.0,7.0,3.0,3.0
302.0,3.0,49.0,19.0,41.0,32.0,9.0
280.0,3.3,53.0,26.0,49.0,19.0,6.0
323.0,0.0,55.0,6.0,34.0,56.0,4.0
296.0,0.0,55.0,26.0,56.0,17.0,1.0
299.0,3.2,58.0,18.0,50.0,23.0,10.0
287.0,4.8,57.0,28.0,51.0,19.0,2.0
313.0,4.8,57.0,9.0,42.0,47.0,3.0
312.0,5.2,54.0,16.0,34.0,32.0,18.0
291.0,4.9,51.0,18.0,38.0,33.0,11.0
261.0,3.2,56.0,68.0,22.0,6.0,4.0
270.0,2.1,58.0,63.0,23.0,10.0,4.0
325.0,5.2,57.0,6.0,35.0,54.0,5.0
289.0,5.0,55.0,25.0,61.0,12.0,1.0
318.0,2.2,61.0,10.0,37.0,39.0,14.0
289.0,3.0,63.0,23.0,40.0,22.0,15.0
316.0,2.8,60.0,12.0,38.0,28.0,23.0
302.0,4.7,56.0,9.0,51.0,36.0,4.0
299.0,3.0,59.0,20.0,42.0,31.0,7.0
279.0,4.7,57.0,39.0,48.0,12.0,1.0
290.0,4.2,52.0,22.0,45.0,23.0,10.0
302.0,4.9,62.0,20.0,37.0,23.0,20.0
288.0,3.3,61.0,45.0,38.0,9.0,7.0
291.0,3.7,60.0,18.0,49.0,31.0,3.0
298.0,3.9,60.0,21.0,39.0,24.0,17.0
301.0,3.5,53.0,19.0,41.0,27.0,14.0
271.0,3.5,55.0,39.0,52.0,7.0,2.0
330.0,3.2,70.0,11.0,33.0,36.0,20.0
308.0,3.2,71.0,36.0,32.0,13.0,20.0
301.0,1.0,54.0,22.0,32.0,36.0,10.0
317.0,2.5,64.0,12.0,44.0,28.0,15.0
336.0,2.2,53.0,0.0,36.0,56.0,8.0
323.0,2.8,69.0,11.0,54.0,24.0,11.0
301.0,2.4,62.0,37.0,36.0,17.0,9.0
301.0,1.0,58.0,21.0,35.0,27.0,17.0
266.0,4.2,60.0,66.0,16.0,14.0,4.0
305.0,5.7,64.0,15.0,41.0,40.0,3.0
288.0,3.4,49.0,18.0,54.0,25.0,3.0
287.0,5.3,72.0,27.0,38.0,22.0,12.0
289.0,4.0,54.0,25.0,38.0,29.0,8.0
282.0,5.8,66.0,41.0,44.0,12.0,3.0
299.0,2.7,61.0,8.0,60.0,27.0,5.0
284.0,2.1,47.0,27.0,64.0,8.0,1.0
309.0,0.8000000000000003,61.0,16.0,23.0,42.0,18.0
322.0,0.8000000000000003,60.0,11.0,33.0,34.0,22.0
309.0,3.6,60.0,13.0,43.0,33.0,11.0
293.0,4.2,70.0,46.0,33.0,12.0,9.0
317.0,2.5,57.0,9.0,38.0,33.0,20.0
345.0,1.3000000000000003,62.0,4.0,27.0,54.0,16.0
328.0,2.8,66.0,11.0,32.0,32.0,26.0
303.0,2.2,58.0,15.0,47.0,28.0,10.0
295.0,2.3,62.0,43.0,29.0,20.0,8.0
328.0,1.3999999999999997,66.0,12.0,51.0,30.0,7.0
314.0,1.6,56.0,13.0,34.0,35.0,18.0
299.0,1.5000000000000002,51.0,18.0,35.0,34.0,13.0
279.0,0.0,51.0,51.0,36.0,9.0,4.0
296.0,5.7,62.0,25.0,59.0,12.0,4.0
316.0,0.0,45.0,4.0,45.0,45.0,6.0
309.0,5.1,55.0,4.0,49.0,45.0,2.0
271.0,1.9,62.0,60.0,25.0,9.0,6.0
288.0,3.5,61.0,30.0,51.0,19.0,0.0
318.0,3.6,63.0,13.0,30.0,51.0,6.0
286.0,3.8,67.0,29.0,31.0,27.0,13.0
296.0,3.3,58.0,23.0,37.0,28.0,12.0
296.0,1.8,58.0,16.0,52.0,25.0,7.0
359.0,0.0,58.0,2.0,20.0,49.0,29.0
348.0,1.5000000000000002,50.0,1.0,49.0,42.0,8.0
321.0,0.6999999999999997,50.0,7.0,30.0,39.0,25.0
328.0,0.0,59.0,15.0,47.0,21.0,17.0
359.0,1.5000000000000002,50.0,1.0,11.0,76.0,12.0
338.0,0.8000000000000003,57.0,9.0,21.0,38.0,32.0
292.0,5.2,55.0,19.0,54.0,22.0,6.0
269.0,4.6,48.0,61.0,28.0,9.0,2.0
320.0,0.0,63.0,8.0,64.0,14.0,14.0
280.0,3.3,59.0,29.0,43.0,18.0,9.0
282.0,3.0,54.0,37.0,34.0,25.0,4.0
327.0,0.0,50.0,3.0,42.0,53.0,3.0
309.0,1.3999999999999997,62.0,14.0,44.0,30.0,13.0
322.0,1.3999999999999997,66.0,12.0,55.0,26.0,7.0
336.0,1.1,51.0,0.0,37.0,56.0,7.0
282.0,1.1999999999999997,56.0,49.0,34.0,13.0,5.0
306.0,0.0,56.0,14.0,41.0,32.0,14.0
258.0,0.0,81.0,41.0,37.0,14.0,9.0
293.0,0.0,55.0,41.0,37.0,15.0,7.0
306.0,1.1,62.0,22.0,48.0,28.0,2.0
335.0,1.1,60.0,4.0,32.0,54.0,10.0
300.0,1.3999999999999997,56.0,17.0,42.0,26.0,15.0
325.0,1.6,60.0,16.0,17.0,40.0,27.0
322.0,0.0,61.0,9.0,38.0,40.0,14.0
290.0,1.9,60.0,19.0,53.0,19.0,9.0
294.0,3.0,61.0,27.0,54.0,16.0,4.0
317.0,3.0,62.0,10.0,38.0,46.0,6.0
298.0,3.0,62.0,21.0,36.0,25.0,18.0
300.0,2.6,54.0,17.0,45.0,25.0,13.0
263.0,1.7,55.0,66.0,24.0,7.0,3.0
321.0,3.0,62.0,9.0,43.0,32.0,16.0
296.0,2.0,63.0,21.0,43.0,24.0,13.0
297.0,2.0,59.0,20.0,42.0,24.0,14.0
285.0,2.5,56.0,30.0,53.0,17.0,1.0
316.0,2.6,58.0,10.0,41.0,44.0,4.0
287.0,3.0,63.0,45.0,32.0,15.0,8.0
255.0,4.4,56.0,74.0,18.0,4.0,4.0
302.0,6.4,59.0,23.0,33.0,30.0,13.0
276.0,5.2,48.0,29.0,48.0,19.0,4.0
292.0,2.7,48.0,22.0,64.0,15.0,0.0
309.0,3.3,57.0,7.0,53.0,37.0,4.0
295.0,4.8,61.0,22.0,49.0,21.0,8.0
264.0,2.6,45.0,41.0,53.0,6.0,0.0
278.0,2.2,60.0,56.0,30.0,8.0,6.0
283.0,2.1,56.0,27.0,46.0,23.0,5.0
288.0,2.1,56.0,29.0,38.0,23.0,10.0
282.0,1.9,52.0,27.0,41.0,23.0,9.0
314.0,3.3,56.0,9.0,42.0,45.0,4.0
282.0,0.0,62.0,53.0,27.0,13.0,7.0
293.0,1.7,49.0,21.0,67.0,11.0,1.0
323.0,4.3,60.0,12.0,27.0,39.0,22.0
317.0,3.9,55.0,12.0,36.0,29.0,24.0
305.0,1.9,54.0,9.0,45.0,43.0,3.0
309.0,0.0,56.0,11.0,49.0,31.0,10.0
331.0,4.5,57.0,8.0,29.0,39.0,24.0
348.0,0.0,59.0,0.0,28.0,56.0,16.0
334.0,0.0,62.0,10.0,49.0,34.0,7.0
328.0,3.3,52.0,4.0,44.0,37.0,15.0
308.0,3.3,53.0,35.0,31.0,27.0,7.0
315.0,4.5,57.0,15.0,33.0,30.0,21.0
269.0,2.9,57.0,63.0,23.0,12.0,3.0
293.0,2.7,54.0,23.0,42.0,27.0,8.0
284.0,3.4,62.0,32.0,58.0,8.0,2.0
306.0,3.8,61.0,11.0,40.0,46.0,3.0
285.0,2.9,55.0,17.0,60.0,20.0,4.0
273.0,2.7,51.0,36.0,39.0,17.0,8.0
283.0,2.2,49.0,21.0,58.0,19.0,3.0
269.0,1.8,46.0,36.0,43.0,19.0,2.0
286.0,6.4,67.0,21.0,49.0,26.0,5.0
258.0,2.0,45.0,74.0,19.0,7.0,1.0
285.0,1.8,45.0,24.0,51.0,20.0,5.0
278.0,5.2,55.0,32.0,58.0,11.0,0.0
306.0,2.8,60.0,16.0,46.0,24.0,15.0
293.0,0.0,73.0,51.0,22.0,14.0,14.0
308.0,0.0,67.0,15.0,45.0,25.0,15.0
287.0,4.0,47.0,26.0,64.0,11.0,0.0
325.0,4.8,57.0,6.0,39.0,49.0,6.0
