establecimiento_educativo,sector_educativo,comuna,grado,area,numero_estudiantes_por_establecimiento
inst educ jose maria velaz,oficial,Santa Cruz,Quinto,matemáticas,6
inst educ jose maria velaz,oficial,Santa Cruz,Quinto,lenguaje,6
inst educ jose maria velaz,oficial,Santa Cruz,Tercero,lenguaje,6
inst educ jose maria velaz,oficial,Santa Cruz,Noveno,matemáticas,6
inst educ jose maria velaz,oficial,Santa Cruz,Tercero,matemáticas,6
inst educ jose maria velaz,oficial,Santa Cruz,Noveno,lenguaje,6
inst educ barrio santa cruz,oficial,Santa Cruz,Tercero,matemáticas,6
inst educ barrio santa cruz,oficial,Santa Cruz,Tercero,lenguaje,6
inst educ barrio santa cruz,oficial,Santa Cruz,Noveno,matemáticas,6
inst educ barrio santa cruz,oficial,Santa Cruz,Quinto,matemáticas,6
inst educ barrio santa cruz,oficial,Santa Cruz,Noveno,lenguaje,6
inst educ barrio santa cruz,oficial,Santa Cruz,Quinto,lenguaje,6
inst educ jose maria bernal,oficial,Belén,Quinto,matemáticas,6
inst educ jose maria bernal,oficial,Belén,Tercero,lenguaje,6
inst educ jose maria bernal,oficial,Belén,Noveno,lenguaje,6
inst educ jose maria bernal,oficial,Belén,Noveno,matemáticas,6
inst educ jose maria bernal,oficial,Belén,Quinto,lenguaje,6
inst educ jose maria bernal,oficial,Belén,Tercero,matemáticas,6
inst educ camilo torres restrepo,oficial,Aranjuez,Noveno,matemáticas,6
inst educ camilo torres restrepo,oficial,Aranjuez,Quinto,lenguaje,6
inst educ camilo torres restrepo,oficial,Aranjuez,Quinto,matemáticas,6
inst educ camilo torres restrepo,oficial,Aranjuez,Tercero,matemáticas,6
inst educ camilo torres restrepo,oficial,Aranjuez,Noveno,lenguaje,6
inst educ camilo torres restrepo,oficial,Aranjuez,Tercero,lenguaje,6
col la pastora-en administracion (ac),contratacion,Popular,Tercero,lenguaje,4
col la pastora-en administracion (ac),contratacion,Popular,Tercero,matemáticas,4
col la pastora-en administracion (ac),contratacion,Popular,Quinto,matemáticas,4
col la pastora-en administracion (ac),contratacion,Popular,Quinto,lenguaje,4
inst educ gabriel restrepo moreno,oficial,Manrique,Tercero,matemáticas,6
inst educ gabriel restrepo moreno,oficial,Manrique,Noveno,matemáticas,6
inst educ gabriel restrepo moreno,oficial,Manrique,Tercero,lenguaje,6
inst educ gabriel restrepo moreno,oficial,Manrique,Quinto,matemáticas,6
